업체명,이메일,웹사이트,발송상태,발송시각,오류내용,소스파일
주식회사 해마푸드,haema5524@naver.com,https://www.haemafood.com/,성공,2026-03-19 11:47:27,,scripts/output/발송_대상_업체.csv
(주)해농,master@haenong.com,https://www.haenong.com/,성공,2026-03-19 11:47:29,,scripts/output/발송_대상_업체.csv
농업회사법인 한백식품(주),export@hanbaekfood.com,http://www.hanbaekfood.com/,성공,2026-03-19 11:47:31,,scripts/output/발송_대상_업체.csv
(주)한식품,gomtom@naver.com,http://hanfoods.co.kr/,성공,2026-03-19 11:47:34,,scripts/output/발송_대상_업체.csv
(주)한진식품,hanjinfood7@naver.com,https://www.hanjinfood.co.kr/,성공,2026-03-19 11:47:36,,scripts/output/발송_대상_업체.csv
한칼식품,cs7715@hanmail.net,https://hankalfood.com/,성공,2026-03-19 11:47:39,,scripts/output/발송_대상_업체.csv
한성푸드영농조합법인,hansungfood0413@naver.com,http://www.hansungfood.co.kr/,성공,2026-03-19 11:47:41,,scripts/output/발송_대상_업체.csv
한울식품,jys0293@hanmail.net,http://www.hanulfood.co.kr/,성공,2026-03-19 11:47:44,,scripts/output/발송_대상_업체.csv
농업회사법인 호정식품(주),hojeong@hojeong.kr,https://www.hojeongfood.com/,성공,2026-03-19 11:47:46,,scripts/output/발송_대상_업체.csv
홍일식품,hongge1@naver.com,http://hongil.net/,성공,2026-03-19 11:47:48,,scripts/output/발송_대상_업체.csv
(주)하우스원푸드,houseonefood2014@naver.com,https://www.houseonefood.com/,성공,2026-03-19 11:47:51,,scripts/output/발송_대상_업체.csv
효천푸드,hyoc03@naver.com,https://www.hyocheon.co.kr/,성공,2026-03-19 11:47:53,,scripts/output/발송_대상_업체.csv
(주)아이씨푸드,webmaster@icfood.com,http://www.icfood.com/,성공,2026-03-19 11:47:55,,scripts/output/발송_대상_업체.csv
이노푸드코리아,innofoodkorea1@naver.com,https://www.innofoodkorea.net/,성공,2026-03-19 11:47:58,,scripts/output/발송_대상_업체.csv
(주)아이작,isaac@isaacfood.com,https://www.isaacfood.com/,성공,2026-03-19 11:48:00,,scripts/output/발송_대상_업체.csv
장푸드,jangfood_1@naver.com,https://jangfood.net/,성공,2026-03-19 11:48:03,,scripts/output/발송_대상_업체.csv
(주)정화,ckmj0101@naver.com,http://jeonghwa.kr/,성공,2026-03-19 11:48:05,,scripts/output/발송_대상_업체.csv
(주)정화,junghwaco14@naver.com,http://jeonghwa.kr/,성공,2026-03-19 11:48:07,,scripts/output/발송_대상_업체.csv
정든식품,niyok@naver.com,https://jeongdeunfood.com/,성공,2026-03-19 11:48:10,,scripts/output/발송_대상_업체.csv
질마재푸드영농조합법인,hmj8060@naver.com,https://www.jilmajae.com/,성공,2026-03-19 11:48:12,,scripts/output/발송_대상_업체.csv
진양식품(주),ejinyang2002@hotmail.com,https://www.jinyangfood.co.kr/,성공,2026-03-19 11:48:15,,scripts/output/발송_대상_업체.csv
제이엘푸드,zyani1@naver.com,https://www.jlfood.co.kr/,성공,2026-03-19 11:48:17,,scripts/output/발송_대상_업체.csv
중앙식품주식회사,syp0511@empas.com,https://www.jungangfood.co.kr/,성공,2026-03-19 11:48:19,,scripts/output/발송_대상_업체.csv
주신수산식품(주),hsclkim@jusinfoods.kr,http://www.jusinfoods.com/,성공,2026-03-19 11:48:22,,scripts/output/발송_대상_업체.csv
금복식품,kumbokfood@naver.coom,https://kumbokfood.com/,성공,2026-03-19 11:48:24,,scripts/output/발송_대상_업체.csv
마블러스푸드,marblus@hanmail.net,http://www.marblusfood.co.kr/,성공,2026-03-19 11:48:27,,scripts/output/발송_대상_업체.csv
맛다올푸드,hao5241@matdaallfood.com,https://www.matdaallfood.com/,성공,2026-03-19 11:48:29,,scripts/output/발송_대상_업체.csv
(주)메카상사,mkss1949@naver.com,http://www.mekka.co.kr/,성공,2026-03-19 11:48:31,,scripts/output/발송_대상_업체.csv
(주)미정,mj-food@hanmail.net,http://www.mijungdang.com/,성공,2026-03-19 11:48:34,,scripts/output/발송_대상_업체.csv
미미사푸드,zhengjie530@naver.com,http://www.mimisafood.net/,성공,2026-03-19 11:48:36,,scripts/output/발송_대상_업체.csv
(주)미송웰푸드,biz@misongwellfood.com,https://www.misongwellfood.com/,성공,2026-03-19 11:48:39,,scripts/output/발송_대상_업체.csv
(주)모아글로벌,moaglobal@moafood.co.kr,https://moafood.co.kr/,성공,2026-03-19 11:48:41,,scripts/output/발송_대상_업체.csv
못난이푸드,born60@naver.com,https://monnanifood.co.kr/,성공,2026-03-19 11:48:43,,scripts/output/발송_대상_업체.csv
달맞이자연식품,moonhillfood@naver.com,https://www.moonhillfood.com/,성공,2026-03-19 11:48:46,,scripts/output/발송_대상_업체.csv
주식회사농부,nbfood@nbfood.co.kr,https://www.nbfood.co.kr/,성공,2026-03-19 11:48:48,,scripts/output/발송_대상_업체.csv
(주)나드리푸드,jenter74@naver.com,https://www.nadrifood.co.kr/,성공,2026-03-19 11:48:51,,scripts/output/발송_대상_업체.csv
나눔공동체,nanumfood0282@hanmail.net,http://www.nanumfood.co.kr/,성공,2026-03-19 11:48:53,,scripts/output/발송_대상_업체.csv
(주)나래,admin@narae.co.kr,http://www.narae.co.kr/,성공,2026-03-19 11:48:55,,scripts/output/발송_대상_업체.csv
(주)앤디케이식품,ndkfood3000@ndkfood.com,http://ndkfood.com/,성공,2026-03-19 11:48:58,,scripts/output/발송_대상_업체.csv
농업회사법인 남해섬흑마늘(주),nhsfood@naver.com,https://www.nhsfood.co.kr/,성공,2026-03-19 11:49:00,,scripts/output/발송_대상_업체.csv
현대농원 농업회사법인 주식회사,bookstand@naver.com,https://www.nicefood.kr/,성공,2026-03-19 11:49:03,,scripts/output/발송_대상_업체.csv
(주)소담푸드,sodamfood2016@naver.com,http://www.sodamfood.co.kr/,성공,2026-03-19 11:49:05,,scripts/output/발송_대상_업체.csv
(주)농가식품,nonggafood2021@naver.com,http://nonggafood.co.kr/,성공,2026-03-19 11:49:08,,scripts/output/발송_대상_업체.csv
주식회사푸건,pugenonfood@naver.com,https://pugeonfood.com/,성공,2026-03-19 11:49:22,,scripts/output/발송_대상_업체.csv
풍미식품,soo2753@naver.com,https://www.pungmi.co.kr/,성공,2026-03-19 11:49:24,,scripts/output/발송_대상_업체.csv
새한식품,saehan4070@naver.com,http://www.saehanfood.net/,성공,2026-03-19 11:49:27,,scripts/output/발송_대상_업체.csv
사임당푸드(영),sdf5986@nate.com,http://www.saimdangfood.co.kr/,성공,2026-03-19 11:49:29,,scripts/output/발송_대상_업체.csv
삼이야 푸드,mylove2208@naver.com,http://www.samiya.co.kr/,성공,2026-03-19 11:49:32,,scripts/output/발송_대상_업체.csv
삼진식품(주),samjinorder@daum.net,https://www.samjinfood.com/,성공,2026-03-19 11:49:34,,scripts/output/발송_대상_업체.csv
(주)삼선식품,samsunfood@hanmail.net,http://samsunfood.com/,성공,2026-03-19 11:49:36,,scripts/output/발송_대상_업체.csv
삼성식품,yuno4583@hanmail.net,http://samsungfood.co.kr/,성공,2026-03-19 11:49:39,,scripts/output/발송_대상_업체.csv
주식회사 산들바람식품 농업회사법인,sandle1136@naver.com,https://www.sandeulbaram.com/,성공,2026-03-19 11:49:41,,scripts/output/발송_대상_업체.csv
(주)산돌식품,sandolfood@naver.com,https://www.sandolfood.co.kr/,성공,2026-03-19 11:49:44,,scripts/output/발송_대상_업체.csv
(주)서라벌푸드,jun335947@naver.com,https://www.seolabolfood.com/,성공,2026-03-19 11:49:46,,scripts/output/발송_대상_업체.csv
섬바다식품,jr8812@nate.com,https://www.seombada.com/,성공,2026-03-19 11:49:48,,scripts/output/발송_대상_업체.csv
세연푸드,seyeon333@naver.com,http://seyeonfood.com/,성공,2026-03-19 11:49:51,,scripts/output/발송_대상_업체.csv
심천본사쇼핑몰,sch2368@daum.net,https://www.simcheon.co.kr/,성공,2026-03-19 11:49:53,,scripts/output/발송_대상_업체.csv
신송식품,masterss@singsong.co.kr,https://www.singsongfood.com/,성공,2026-03-19 11:49:56,,scripts/output/발송_대상_업체.csv
신우식품,sinwoo.official@gmail.com,http://www.sinwoofood.kr/,성공,2026-03-19 11:49:58,,scripts/output/발송_대상_업체.csv
송화식품 주식회사,songhwa@songhwa.co.kr,http://www.songhwa.co.kr/,성공,2026-03-19 11:50:00,,scripts/output/발송_대상_업체.csv
스타푸드,foodbank851@duam.net,https://www.starfood.co.kr/,성공,2026-03-19 11:50:03,,scripts/output/발송_대상_업체.csv
성연식품(주),cbshil@hanmail.net,https://www.sungyeon.co.kr/,성공,2026-03-19 11:50:05,,scripts/output/발송_대상_업체.csv
더초록식품,whcbw@wonheetrading.com,http://www.thechorok.com/,성공,2026-03-19 11:50:08,,scripts/output/발송_대상_업체.csv
(주)토리식품,toryfood@naver.com,https://www.toryfood.com/,성공,2026-03-19 11:50:10,,scripts/output/발송_대상_업체.csv
(주)원일식품,sale@wonilfood.com,https://www.wonilfood.com/kr/index.php,성공,2026-03-19 11:50:12,,scripts/output/발송_대상_업체.csv
우주아이엔티,wooju1538@naver.com,https://www.woojufood.co.kr/,성공,2026-03-19 11:50:15,,scripts/output/발송_대상_업체.csv
우영식품,wooyoungfood89@naver.com,http://www.wooyoungfood.co.kr/,성공,2026-03-19 11:50:17,,scripts/output/발송_대상_업체.csv
와이제이푸드,yjf4300@gmail.com,http://www.yjfood.co.kr/,성공,2026-03-19 11:50:20,,scripts/output/발송_대상_업체.csv
(주)양원농장농업법인회사,sunchengji@hotmail.com,https://www.yangwonfood.com/,성공,2026-03-19 11:50:22,,scripts/output/발송_대상_업체.csv
(주)양원농장농업법인회사,yangwon-food@hanmail.net,https://www.yangwonfood.com/,성공,2026-03-19 11:50:24,,scripts/output/발송_대상_업체.csv
(주)예주식품,mimiso70@hanmail.net,https://www.yejufood.co.kr/,성공,2026-03-19 11:50:27,,scripts/output/발송_대상_업체.csv
예맛푸드,sales@yemat1004.com,https://www.yemat.com/,성공,2026-03-19 11:50:29,,scripts/output/발송_대상_업체.csv
양포어장,kclef@naver.com,https://www.ypseafood.com/,성공,2026-03-19 11:50:31,,scripts/output/발송_대상_업체.csv
주식회사 주비푸드,zoobeefoods@naver.com,https://www.zoobee.co.kr/,성공,2026-03-19 11:50:34,,scripts/output/발송_대상_업체.csv
